title,genre,director,country,year
Балто (мультфильм),"семейный, ,, приключения",Саймон Уэллс,США,не указано
Баллада о столе,"кино-плакат,, сатира","Михаил Калинин, ,, Роман Давыдов",СССР,не указано
Балерина на корабле,музыкальная фантазия,Лев Атаманов,СССР,не указано
Балерина (мультфильм),"приключения, ,, мюзикл, ,, семейный фильм","Эрик Саммер, Эрик Уорин","Канада, Франция",не указано
Балбесы 3D,"мультфильм, ,, комедия, ,, криминал",Йорген Лендарм,Дания,не указано
Баланс (мультфильм),"немое кино, и, драма","Кристоф, и, Вольфганг Лауэнштайны",ФРГ,не указано
Базз Лайтер (мультфильм),"супергеройская фантастика, [, 1, ], [, 2, ], приключения, [, 3, ], [, 4, ], научная фантастика, [, 5, ], [, 6, ]",Энгус Маклейн,США,не указано
Балаблок,"мультфильм, [, 1, ]","Бржетислав Пояр, [, 2, ]","Канада, [, 2, ]",не указано
Бабья работа,не указано,Анатолий Солин,Россия,не указано
Бабушкин козлик,сатирическая сказка для взрослых,Леонид Амальрик,СССР,не указано
Бабушкин зонтик,не указано,Лев Мильчин,СССР,не указано
Бабушка (мультфильм),драма,Андрей Золотухин,Россия,не указано
Бабочка и тигр,юмор,Валерий Угаров,СССР,не указано
Бабочка (мультфильм),не указано,Андрей Хржановский,СССР,не указано
Бабка Ёжка и другие,сказка,"Андрей Молчанов, Мария Ушенина, Василий Филатов (перезапись)",Россия,не указано
Баба-яга против!,"сказка, ,, комедия",Владимир Пекарь,СССР,не указано
Бабай (мультфильм),"комедия, приключенческий фильм, семейный фильм, фэнтези, [, 1, ]",Марина Медвидь,Украина,не указано
Ая и ведьма,"фэнтези, ,, приключения",Горо Миядзаки,не указано,не указано
Ахмед и Салим,Ситком,не указано,Израиль,не указано
Аэротачки,приключения,Тони Тэнг,США,не указано
"Ах, эти жмурки!",не указано,Иван Уфимцев,Россия,не указано
"Ах, принцесса!",сказка,Юлиан Калишер,СССР,не указано
Африканская сказка,сатира,"Леонид Аристов, ,, Игорь Николаев",СССР,не указано
Атака на титанов,"боевик, ,, драма, ,, тёмное фэнтези, ,, постапокалиптика",Юитиро Хаяси,не указано,не указано
"Астробой (мультфильм, 2009)",супергеройский фильм,Дэвид Бауэрс,"США, Япония, Гонконг",не указано
Астерикс против Цезаря,"историческая, комедия","Jack Jullian, [вд], [, 1, ], ,, Nara Kollery, [вд], [, 1, ], и, Jacques Maumont, [вд], [, 1, ]","Франция, Бельгия",не указано
Астерикс из Галлии,"историческая, комедия",Рей Госсенс,"Франция, Бельгия",не указано
Астерикс и тайное зелье,"историческая, комедия","Raphaël Seydoux, [вд], [, 1, ], ,, Жан Гудье, [вд], [, 1, ], и, Cyril Holtz, [вд], [, 1, ]",Франция,не указано
Астерикс и викинги,"историческая, комедия","Stig Sparre-Ulrich, [вд], и, Claus Lynge, [вд]","Франция, Дания",не указано
Астерикс и Клеопатра,"историческая, комедия","Henri Gruel, [вд], [, 2, ]","Франция, Бельгия",не указано
Астерикс завоёвывает Америку,"историческая, комедия","Manfred Arbter, [вд], [, 1, ], ,, Harry Schnitzler, [вд], [, 1, ], и, Max Hoskins, [вд], [, 1, ]","Германия, Франция",не указано
Астерикс в Британии,"исторический, комедийный","Thierry Lebon, [вд], [, 1, ]","Франция, Бельгия",не указано
"Архипелаг (мультфильм, 2021)","документальный фильм, и, драма","Olivier Calvert, [вд], [, 1, ]","Канада, [, 1, ]",не указано
Арнольд!,"приключенческий фильм, комедия",Так Такер,США,не указано
"Арло, мальчик-аллигатор","комедия, [, 1, ], ,, приключения, [, 1, ], ,, семейный фильм, [, 1, ], и, музыкальный фильм, [, 1, ]",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Ryan Crego, [вд], [, 1, ]",США,не указано
Ариэтти из страны лилипутов,"приключения, ,, фэнтези, ,, сказка",Хиромаса Ёнэбаяси,не указано,не указано
Аргонавты (мультфильм),древнегреческая мифология,Борис Фильчиков,СССР,не указано
Апельсин (мультфильм),Считалка,Галина Баринова,СССР,не указано
Апостол (мультфильм),сатира,Квирино Кристиани,Аргентина,не указано
Антошка,"детский фильм, и, музыкальный фильм",Леонид Носырев,СССР,не указано
Аномализа,"комедия, ,, драма, ,, комедийная драма, и, романтический фильм","Дьюк Джонсон,, Чарли Кауфман",США,не указано
Аннабелль,"приключения, ,, сказка",Рой Уилсон,США,не указано
Анина (мультфильм),Семейный,"Альфредо Содергуит, Альфредо Содергит","Уругвай, Колумбия",не указано
Аниматрица,"техно, ,, биг-бит, ,, хаус, и, драм-н-бейс","Кодзи Моримото, Синъитиро Ватанабэ, Махиро Маэда, Питер Чунг, Энди Джонс, Ёсиаки Кавадзири, Такэси Коикэ",США,не указано
Андрей Свислоцкий,Символизм,Игорь Ковалёв,"СССР, →, Россия",не указано
Ангелы смерти (аниме),"фантастика, ,, боевик, ,, сёнэн, ,, меха, ,, этти",Коити Охата,не указано,не указано
Анастасия (мультфильм),"драма, ,, комедия, ,, мюзикл, ,, фэнтези, ,, приключения, ,, семейный, ,, мультфильм, ,, мистика","Дон Блут, Гари Голдман",США,не указано
Анаит (мультфильм),"семейный, приключения, мультфильм","Давид Саакянц, Люля Саакянц",Армения,не указано
Американский хвост,семейный,Дон Блут,США,не указано
АМБА (мультфильм),научная фантастика,Геннадий Тищенко,Россия,не указано
"Алоха, Скуби-Ду!","комедия, ,, детектив, ,, приключения",Тим Малтбу,США,не указано
Алло! Вас слышу!,детский фильм,Юрий Прытков,СССР,не указано
Алиса и укус пчелы,кинокомедия,Уолт Дисней,США,1925
"Алиса в Стране чудес (мультфильм, 1951)","мюзикл, фэнтезийная комедия",".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, Клайд Джероними, Уилфред Джексон, Хэмилтон Ласк, Джек Кинни",США,не указано
"Алиса (фильм, 1988)",фэнтезийный фильм,Ян Шванкмайер,"Чехословакия, Швейцария, Великобритания, ФРГ",не указано
Али-Баба и сорок разбойников (мультфильм),сказка,Григорий Ломидзе,СССР,не указано
Али-Баба и сорок разбойников (аниме),"приключения, ,, сказка",Сидара Хироси,не указано,не указано
Алёшины сказки,не указано,Роман Качанов,СССР,не указано
Алёша Попович и Тугарин Змей,"комедия, приключения",Константин Бронзит,Россия,не указано
Аленький цветочек (мультфильм),сказка,Лев Атаманов,СССР,не указано
Алёнушка и солдат (мультфильм),сказка,Юрий Елисеев,СССР,не указано
Алёнкин цыплёнок,не указано,Лев Шукалюков,СССР,не указано
Аладдин и король разбойников,"мюзикл, ,, фэнтези, ,, приключения",Тэд Стоунс,"США, Австралия, Япония",не указано
Аладдин (мультфильм Disney),"мюзикл, фэнтезийная комедия","Джон Маскер, Рон Клементс",США,не указано
Аладдин и его чудесная лампа,"комедия, [, 1, ], ,, приключения, [, 1, ], ,, семейный фильм, [, 1, ], и, фэнтези, [, 1, ]",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Дэйв Флейшер, [вд], [, 2, ]",США,не указано
Аладдин (мультфильм Golden Films),"детский фильм, и, сказка","Масакадзу Хигути, Тинами Намба","США, Япония",не указано
Актриса тысячелетия,"психологическая драма, ,, исторический",Сатоси Кон,не указано,не указано
Аксак кулан (мультфильм),легенда,Амен Хайдаров,СССР,не указано
Акира (аниме),музыка к аниме,Кацухиро Отомо,"Япония, ,, США",не указано
Аквариум (мультфильм),не указано,Франгиз Курбанова,СССР,не указано
Акварион,"приключения, ,, фантастика, ,, меха, ,, драма, , романтика",Кэндзи Итосо,не указано,не указано
Акаиро,Сказка,Аида Зябликова,СССР,не указано
Академик Иванов,комедия,Владимир Попов,СССР,не указано
Айнбо. Сердце Амазонии,"комедия, фэнтези, приключения","Рихард Клаус, Хосе Селада","Перу, Нидерланды, Германия",не указано
Аисты (мультфильм),"комедия, семейный фильм","Николас Столлер, Даг Свитленд, [англ.]",США,не указано
Айболит и Бармалей (мультфильм),сказка,Наталия Червинская,СССР,не указано
Аистёнок (мультфильм),сказка,Р. Пекарь,СССР,не указано
Аист (мультфильм),сказка,Иван Аксенчук,СССР,не указано
Адзуманга,"комедия, , школа,, повседневность",Фумиаки Асано,не указано,не указано
Азур и Азмар,"фэнтези, ,, приключение","Cyril Holtz, [вд]","Франция, Испания, Бельгия, Италия",не указано
Адам и его собака,"мультфильм, ,, коротометражка",Минкью Ли,США,не указано
Адажио (мультфильм),притча,Гарри Бардин,"Россия, Франция, Испания",не указано
Агенты времени,"фэнтези, ,, драма",Ли Хаолин,не указано,не указано
Агент Вексилл,научная фантастика,Фумихико Сори,не указано,не указано
Автомобиль кота Леопольда,не указано,Анатолий Резников,СССР,не указано
Автомобилисты (мультфильм),"комедия, ,, гротеск",Герман Вахтель,СССР,не указано
Аврора (мультфильм),"детский, ,, исторический",Георгий Иванович Мартынюк,СССР,не указано
Аврил и поддельный мир,"альтернативная история, приключения, стимпанк","Кристиан Димар, Франк Экинджи","Франция, Бельгия, Канада",не указано
Аве Мария (мультфильм),памфлет,"Владимир Данилевич, ,, Иван Иванов-Вано",СССР,не указано
Аварийная бригада (мультфильм),Мультсериал,"Янис Цимерманис, Даце Ридузе",Латвия,не указано
