title,genre,director,country,year
? (фильм),"драма, [, 1, ]",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Ханун Брамантйо, [вд], [, 1, ]",Индонезия,2011
Бесстрашный Жанно,"приключенческий, семейный, мультфильм","Жан Имаж, Чарльз Фрэнк (англоязычная версия)",Франция,не указано
Бессонница (мультфильм),не указано,Владимир Лещёв,Латвия,не указано
Бессмертный (мультфильм),сказка,Олег Зуев,Россия,не указано
Беспокойные сердца,симулятор свиданий,Хидэки Такаяма,не указано,не указано
Бесподобный мистер Фокс,"комедия, ,, мелодрама, ,, боевик",Уэс Андерсон,"США, Великобритания",не указано
Бескрылый гусёнок (мультфильм),легенда,Оксана Черкасова,СССР,не указано
Берсерк (манга),"тёмное фэнтези, ,, драма, ,, боевик, ,, меч и колдовство, [, 1, ]",Син Итагаки,"Кэнтаро Миура, (1989—2021), Studio Gaga (с 2022)",не указано
БЕРН·И,приключенческий фильм,Энгус Маклейн,США,не указано
Белый верблюжонок,не указано,Зиновий Ройзман,СССР,не указано
Белоснежка и семь гномов (мультфильм),"мюзикл, фэнтези","Руководящий режиссёр, .mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, Дэвид Хэнд, Режиссёры сцен, Перс Пирс, Уильям Коттрелл, Ларри Мори, Уилфред Джексон, Бен Шарпстин",США,не указано
Белоснежка и Алоцветик,сказка,Елена Петкевич,Беларусь,не указано
"Белоснежка (мультфильм, 1933)","сказка, ,, комедия",Дэйв Флейшер,США,не указано
Белолобый (мультфильм),не указано,Сергей Серёгин,Россия,не указано
Белое золото (Хлопок),не указано,А. Иванов,СССР,не указано
Белка и Стрелка. Лунные приключения,"мультфильм, ,, исторический, ,, комедия, ,, приключения, ,, фантастика","Инна Евланникова, Александр Храмцов",Россия,не указано
Белка и Стрелка. Карибская тайна,"исторический, мультфильм, ,, комедия, ,, приключения, ,, фантастика","Инна Евланникова, ,, Александр Храмцов",Россия,не указано
Выползшее из деревянных вещей,фантастика,Герд Освальд,США,1963
Вызываем огонь на себя (фильм),"военно, -, исторический фильм, ,, драма",Сергей Колосов,СССР,не указано
Вы не знаете Джека,"драма, биография",Барри Левинсон,США,не указано
"Вчера, сегодня и всегда (фильм, 1969)","музыкальная, комедия",Михаил Григорьев,СССР,не указано
Второй шанс (За гранью возможного),фантастика,Пол Стенли,США,1964
Всегда в пути твоё лицо,"драматический фильм, военный фильм",Ахим Хюбнер,ГДР,1960
"Вся королевская рать (фильм, 1971)",драма,"Александр Гуткович, Наум Ардашников",СССР,не указано
Всё что угодно ради любви,комедия,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Майкл Койш, [вд]","Канада, США",1993
Время для размышлений,драма,Сергей Ашкенази,СССР,не указано
Время-не-ждёт (телефильм),приключенческий фильм,Виталий Четвериков,СССР,не указано
Враждебные воды,триллер,Дэвид Друри,"США, ,, Великобритания, ,, Германия",не указано
Враги разума,документальный,Расселл Барнс,Великобритания,не указано
"Враги (фильм, 2006)","фантастика, триллер",Пол Зиллер,"США, Канада",не указано
"Вперёд, гвардейцы!",детектив,Валерий Ахадов,СССР,не указано
"Воспоминания об убийстве (фильм, 1990)","боевик, криминальный фильм, триллер",Роберт Льюис,США,1990
Воспитание чувств (мини-сериал),"мини-сериал, экранизация, драма, мелодрама","Марсель Кравенн, [фр.]",Франция,не указано
"Воскресение (фильм, 2001)",драма,"Паоло Тавиани, Витторио Тавиани","Италия, Франция, ФРГ",не указано
Вороньё,природный фильм ужасов,Шелдон Уилсон,США,2007
Волшебный голос Джельсомино,"приключения, ,, сказка, ,, мюзикл",Тамара Лисициан,СССР,не указано
Волшебное таинственное путешествие (фильм),"кинокомедия, мюзикл","Бернард Ноулесс, [англ.], The Beatles",Великобритания,не указано
Волшебники из Вэйверли Плэйс в кино,"комедийная драма, фэнтези","Лев Л. Спиро, [англ.]",США,не указано
Волшебник Земноморья (мини-сериал),"фэнтези, драма, приключенческий фильм",Роберт Либерман,"Канада, США",не указано
Волшебная история Пиноккио,"фэнтези, драма, приключения",Альберто Сирони,"Великобритания, Италия",не указано
Волк 359,фантастика,Ласло Бенедек,США,не указано
Вокруг света за 80 дней (мини-сериал),приключенческий фильм,Базз Кьюлик,"США, Италия, Югославия",не указано
Войны в женской общаге,"комедия, драма",Джеймс Хэйман,США,не указано
Война одного человека,драма,Серджо Толедо,Великобритания,не указано
Война на западном направлении,военный фильм,"Тимофей Левчук, Григорий Кохан",СССР,не указано
Вой Банши,фильм ужасов,Стивен С. Миллер,США,2011
Возвращение капитана Немо,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, экранизация романа, [вд], и, научно-фантастический фильм","Алекс Марч, Пол Стадер",США,не указано
Возвращение титанов,"ужасы, /, боевик, /, фантастика",Мэри Ламберт,США,2011
Возвращение в Зурбаган,"драма, мелодрама",Олег Гойда,СССР,не указано
Водопроводчик (фильм),триллер,Питер Уир,Австралия,1979
Возвращение Будулая,мелодрама,Александр Бланк,СССР,не указано
Водитель автобуса (фильм),детектив,Борис Шадурский,СССР,1983
Властелин легенд,"драма, ,, фентези",Стив Бэррон,США,2003
"Виртуоз (фильм, 2002)","боевик, драма, триллер, криминальный фильм",Жан Пьер Ру,"США, Великобритания, Германия, Испания",2002
"Вишнёвый сад (фильм, 1981)",драма,Ричард Эйр,Великобритания,не указано
Виртуальный кошмар,не указано,Майкл Паттинсон,США,2000
Виртуальное соблазнение,фантастика,Пол Зиллер,США,1995
Виктор Астафьев. Весёлый солдат,документальный,Андрей Зайцев,Россия,2010
"Визит старой дамы (фильм, 2008)","Трагифарс, драма",Николаус Лейтнер,"Германия, Австрия",2008
"Визит старой дамы (фильм, 2006)",Трагикомедия,Роман Баскин,Эстония,не указано
"Визит старой дамы (фильм, 1959)",Трагикомедия,Людвиг Кремер,ФРГ,не указано
Визит дамы,трагифарс,Михаил Козаков,СССР,не указано
Вечный зов (телесериал),эпический фильм,"Владимир Краснопольский, Валерий Усков",СССР,не указано
Вечерний экспресс «Сансет Лимитед»,драма,Томми Ли Джонс,США,не указано
Вечер Эдгара Аллана По,"фильм ужасов, и, фильм-тайна",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Кеннет Джонсон, [вд]",США,1970
Весна убийств,детективный фильм,Стивен Уильямс,Канада,2002
Весёлые деньки на Диком Западе,детский фильм,Стюарт Марголин,США,не указано
"Весёлое сновидение, или Смех и слёзы","сказка, детский фильм",Игорь Усов,СССР,не указано
Весёлая хроника опасного путешествия,комедия,Евгений Гинзбург,СССР,не указано
Великий Мерлин,"приключенческий фильм, драма, фэнтези",Стив Бэррон,"США, Великобритания",не указано
"Великий Гэтсби (фильм, 2000)","драма, ,, романтический фильм, и, .mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, экранизация романа, [вд]",Роберт Марковиц,"Великобритания, США",не указано
Великая война (документальный цикл),"художественно-документальный, ,, докудрама",Анна Граждан,Россия,не указано
Вас вызывает Таймыр (фильм),комедия,Алексей Коренев,СССР,не указано
Варькина земля,"драма, ,, мелодрама",Анатолий Буковский,СССР,не указано
Вариант «Омега»,"военный фильм, ,, шпионский фильм",Антонис-Янис Воязос,СССР,не указано
Варвары у ворот (фильм),комедия,Гленн Джордан,США,не указано
"Ванзейская конференция (фильм, 2022)","историческая драма, [, 1, ]",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Матти Гешоннек, [вд], [, 1, ]","Германия, [, 3, ], [, 1, ]",не указано
"Ванзейская конференция (фильм, 1984)",драма,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Heinz Schirk, [вд]",ФРГ,не указано
"Валерка, Рэмка +…",детский фильм,Валентин Козачков,СССР,не указано
В тринадцатом часу ночи,"сказка, ,, музыкальный фильм",Лариса Шепитько,СССР,1968
"В тупике (фильм, 1993)",триллер,Джеф Мёрфи,"США, Мексика",не указано
В сумерках,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, ЛГБТ-фильм, [вд], и, драма",Кристофер Рив,США,1997
"В пути (фильм, 1961)",драма,Мери Анджапаридзе,СССР,не указано
В полночный час,"мелодрама, детектив, триллер",Чарльз Джэрротт,"США, Канада, Германия",не указано
